X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
287;-8,00E-03;-8,00E-02;;
288;-1,00E-02;0,00E+00;;
289;-1,00E-02;0,00E+00;;
290;-1,20E-02;1,60E-01;;
291;-1,20E-02;1,60E-01;;
292;-1,40E-02;2,40E-01;;
293;-1,40E-02;2,40E-01;;
294;-1,80E-02;4,00E-01;;
295;-1,80E-02;4,00E-01;;
296;-2,00E-02;4,80E-01;;
297;-2,00E-02;4,80E-01;;
298;-2,00E-02;6,40E-01;;
299;-2,00E-02;6,40E-01;;
300;-2,00E-02;7,20E-01;;
301;-2,00E-02;7,20E-01;;
302;-2,20E-02;8,80E-01;;
303;-2,20E-02;8,80E-01;;
304;-2,40E-02;1,04E+00;;
305;-2,40E-02;1,04E+00;;
306;-2,80E-02;1,12E+00;;
307;-2,80E-02;1,12E+00;;
308;-3,20E-02;1,28E+00;;
309;-3,20E-02;1,28E+00;;
310;-3,40E-02;1,36E+00;;
311;-3,40E-02;1,36E+00;;
312;-3,80E-02;1,52E+00;;
313;-3,80E-02;1,52E+00;;
314;-4,40E-02;1,60E+00;;
315;-4,40E-02;1,60E+00;;
316;-4,40E-02;1,68E+00;;
317;-4,40E-02;1,68E+00;;
318;-4,40E-02;1,84E+00;;
319;-4,40E-02;1,84E+00;;
320;-4,80E-02;1,92E+00;;
321;-4,80E-02;1,92E+00;;
322;-4,80E-02;2,08E+00;;
